108/05/02,25.55
108/05/03,25.65
108/05/06,24.9
108/05/07,25.5
108/05/08,25.45
108/05/09,24.55
108/05/10,24.55
108/05/13,23.05
108/05/14,23.2
108/05/15,23.5
108/05/16,23
108/05/17,22.55
108/05/20,22.65
108/05/21,22.95
108/05/22,22.95
108/05/23,23.1
108/05/24,22.95
108/05/27,23.05
108/05/28,23.8
108/05/29,23.1
108/05/30,23.4
108/05/31,22.5
