日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,"16,779,888","401,800,454",24.3,24.3,23.7,23.8,-0.15,"6,600"
107/01/03,"16,275,539","385,260,426",23.8,24,23.55,23.6,-0.2,"6,898"
107/01/04,"13,062,636","306,034,366",23.6,23.7,23.35,23.45,-0.15,"6,124"
107/01/05,"9,525,083","224,670,498",23.4,23.8,23.4,23.65,0.2,"3,978"
107/01/08,"8,235,707","194,114,454",23.7,23.75,23.5,23.55,-0.1,"4,307"
107/01/09,"6,577,420","154,884,087",23.6,23.7,23.5,23.55,0,"2,864"
107/01/10,"8,927,388","208,085,380",23.55,23.6,23.2,23.3,-0.25,"3,318"
107/01/11,"7,982,026","186,880,177",23.45,23.5,23.3,23.45,0.15,"3,161"
107/01/12,"24,536,978","587,295,763",23.8,24.1,23.75,23.9,0.45,"8,458"
107/01/15,"7,867,384","188,327,493",24.05,24.1,23.75,23.95,0.05,"3,057"
107/01/16,"7,304,700","174,158,743",24,24,23.75,23.85,-0.1,"2,576"
107/01/17,"15,125,469","361,006,805",23.85,24,23.7,23.9,0.05,"4,345"
107/01/18,"18,715,309","448,072,207",24.05,24.1,23.75,23.75,-0.15,"5,430"
107/01/19,"9,669,562","230,116,884",23.9,23.95,23.7,23.8,0.05,"3,626"
107/01/22,"25,825,382","626,013,707",23.95,24.45,23.9,24.3,0.5,"7,667"
107/01/23,"44,119,770","1,092,751,032",24.7,25,24.45,24.9,0.6,"14,013"
107/01/24,"32,154,943","808,937,325",25.35,25.4,24.95,25.1,0.2,"12,058"
107/01/25,"17,863,833","442,235,196",25.1,25.1,24.6,24.6,-0.5,"7,394"
107/01/26,"13,580,559","331,207,157",24.3,24.5,24.3,24.4,-0.2,"4,713"
107/01/29,"10,885,230","263,852,047",24.55,24.55,24.1,24.3,-0.1,"4,013"
107/01/30,"13,447,452","328,781,500",24.25,24.7,24.15,24.45,0.15,"3,785"
107/01/31,"12,716,020","309,124,325",24.4,24.5,24.1,24.5,0.05,"3,393"
