日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/02/01,"11,093,501","268,942,943",24.35,24.45,24.15,24.2,-0.3,"4,372"
107/02/02,"10,761,050","261,124,032",24.1,24.4,24.1,24.2,0,"3,337"
107/02/05,"11,239,628","267,237,235",23.8,23.95,23.55,23.8,-0.4,"4,418"
107/02/06,"33,999,886","768,632,468",23.25,23.25,22.05,22.35,-1.45,"12,268"
107/02/07,"17,105,845","393,669,122",23,23.2,22.7,23.15,0.8,"5,995"
107/02/08,"10,823,741","249,684,697",23.25,23.45,23,23,-0.15,"4,495"
107/02/09,"16,448,474","371,631,552",22.45,22.95,22.2,22.7,-0.3,"6,324"
107/02/12,"10,894,072","249,781,056",23,23.1,22.8,22.9,0.2,"4,778"
107/02/21,"32,254,639","779,263,696",23.55,24.6,23.4,24.4,1.5,"10,277"
107/02/22,"30,095,711","739,819,396",24.3,24.8,24.05,24.5,0.1,"8,223"
107/02/23,"25,096,317","621,523,818",24.55,25.15,24.3,24.6,0.1,"7,331"
107/02/26,"12,944,768","317,542,013",24.8,25,24.3,24.3,-0.3,"3,802"
107/02/27,"27,728,738","683,973,758",24.5,24.95,24.35,24.5,0.2,"6,644"
